weight,transportation_type,zone,service_type,price
1 lbs,air,2,FedEx First Overnight,73.31
2 lbs,air,2,FedEx First Overnight,73.87
3 lbs,air,2,FedEx First Overnight,77.77
4 lbs,air,2,FedEx First Overnight,82.02
5 lbs,air,2,FedEx First Overnight,82.45
6 lbs,air,2,FedEx First Overnight,89.98
7 lbs,air,2,FedEx First Overnight,90.74
8 lbs,air,2,FedEx First Overnight,91.0
9 lbs,air,2,FedEx First Overnight,91.27
10 lbs,air,2,FedEx First Overnight,91.81
11 lbs,air,2,FedEx First Overnight,102.44
12 lbs,air,2,FedEx First Overnight,104.12
13 lbs,air,2,FedEx First Overnight,104.39
14 lbs,air,2,FedEx First Overnight,105.89
15 lbs,air,2,FedEx First Overnight,106.16
16 lbs,air,2,FedEx First Overnight,111.04
17 lbs,air,2,FedEx First Overnight,115.64
18 lbs,air,2,FedEx First Overnight,116.32
19 lbs,air,2,FedEx First Overnight,116.87
20 lbs,air,2,FedEx First Overnight,117.31
21 lbs,air,2,FedEx First Overnight,121.08
22 lbs,air,2,FedEx First Overnight,125.22
23 lbs,air,2,FedEx First Overnight,125.74
24 lbs,air,2,FedEx First Overnight,128.25
25 lbs,air,2,FedEx First Overnight,128.75
26 lbs,air,2,FedEx First Overnight,134.75
27 lbs,air,2,FedEx First Overnight,135.36
28 lbs,air,2,FedEx First Overnight,137.54
29 lbs,air,2,FedEx First Overnight,138.08
30 lbs,air,2,FedEx First Overnight,138.57
31 lbs,air,2,FedEx First Overnight,142.67
32 lbs,air,2,FedEx First Overnight,145.85
33 lbs,air,2,FedEx First Overnight,148.6
34 lbs,air,2,FedEx First Overnight,151.12
35 lbs,air,2,FedEx First Overnight,153.69
36 lbs,air,2,FedEx First Overnight,158.77
37 lbs,air,2,FedEx First Overnight,159.3
38 lbs,air,2,FedEx First Overnight,159.6
39 lbs,air,2,FedEx First Overnight,160.11
40 lbs,air,2,FedEx First Overnight,160.43
41 lbs,air,2,FedEx First Overnight,166.14
42 lbs,air,2,FedEx First Overnight,168.12
43 lbs,air,2,FedEx First Overnight,171.8
44 lbs,air,2,FedEx First Overnight,174.98
45 lbs,air,2,FedEx First Overnight,181.82
46 lbs,air,2,FedEx First Overnight,185.95
47 lbs,air,2,FedEx First Overnight,188.18
48 lbs,air,2,FedEx First Overnight,188.46
49 lbs,air,2,FedEx First Overnight,188.72
50 lbs,air,2,FedEx First Overnight,158.62
51 lbs,air,2,FedEx First Overnight,179.19
52 lbs,air,2,FedEx First Overnight,176.51
53 lbs,air,2,FedEx First Overnight,181.15
54 lbs,air,2,FedEx First Overnight,181.7
55 lbs,air,2,FedEx First Overnight,182.37
56 lbs,air,2,FedEx First Overnight,195.59
57 lbs,air,2,FedEx First Overnight,197.27
58 lbs,air,2,FedEx First Overnight,197.84
59 lbs,air,2,FedEx First Overnight,198.39
60 lbs,air,2,FedEx First Overnight,198.96
61 lbs,air,2,FedEx First Overnight,209.34
62 lbs,air,2,FedEx First Overnight,211.73
63 lbs,air,2,FedEx First Overnight,212.35
64 lbs,air,2,FedEx First Overnight,222.98
65 lbs,air,2,FedEx First Overnight,224.06
66 lbs,air,2,FedEx First Overnight,224.64
67 lbs,air,2,FedEx First Overnight,226.78
68 lbs,air,2,FedEx First Overnight,231.91
69 lbs,air,2,FedEx First Overnight,232.45
70 lbs,air,2,FedEx First Overnight,233.02
71 lbs,air,2,FedEx First Overnight,239.67
72 lbs,air,2,FedEx First Overnight,241.2
73 lbs,air,2,FedEx First Overnight,241.76
74 lbs,air,2,FedEx First Overnight,242.34
75 lbs,air,2,FedEx First Overnight,243.48
76 lbs,air,2,FedEx First Overnight,245.23
77 lbs,air,2,FedEx First Overnight,246.03
78 lbs,air,2,FedEx First Overnight,246.83
79 lbs,air,2,FedEx First Overnight,247.63
80 lbs,air,2,FedEx First Overnight,248.64
81 lbs,air,2,FedEx First Overnight,268.76
82 lbs,air,2,FedEx First Overnight,270.78
83 lbs,air,2,FedEx First Overnight,271.93
84 lbs,air,2,FedEx First Overnight,273.04
85 lbs,air,2,FedEx First Overnight,274.18
86 lbs,air,2,FedEx First Overnight,277.8
87 lbs,air,2,FedEx First Overnight,278.6
88 lbs,air,2,FedEx First Overnight,279.4
89 lbs,air,2,FedEx First Overnight,280.2
90 lbs,air,2,FedEx First Overnight,281.0
91 lbs,air,2,FedEx First Overnight,281.8
92 lbs,air,2,FedEx First Overnight,282.6
93 lbs,air,2,FedEx First Overnight,283.4
94 lbs,air,2,FedEx First Overnight,284.2
95 lbs,air,2,FedEx First Overnight,285.0
96 lbs,air,2,FedEx First Overnight,285.8
97 lbs,air,2,FedEx First Overnight,286.6
98 lbs,air,2,FedEx First Overnight,287.4
99 lbs,air,2,FedEx First Overnight,288.2
100 lbs,air,2,FedEx First Overnight,289.0
101 lbs,air,2,FedEx First Overnight,323.2
102 lbs,air,2,FedEx First Overnight,326.4
103 lbs,air,2,FedEx First Overnight,329.6
104 lbs,air,2,FedEx First Overnight,332.8
105 lbs,air,2,FedEx First Overnight,336.0
106 lbs,air,2,FedEx First Overnight,339.2
107 lbs,air,2,FedEx First Overnight,342.4
108 lbs,air,2,FedEx First Overnight,345.6
109 lbs,air,2,FedEx First Overnight,348.8
110 lbs,air,2,FedEx First Overnight,352.0
111 lbs,air,2,FedEx First Overnight,355.2
112 lbs,air,2,FedEx First Overnight,358.4
113 lbs,air,2,FedEx First Overnight,361.6
114 lbs,air,2,FedEx First Overnight,364.8
115 lbs,air,2,FedEx First Overnight,368.0
116 lbs,air,2,FedEx First Overnight,371.2
117 lbs,air,2,FedEx First Overnight,374.4
118 lbs,air,2,FedEx First Overnight,377.6
119 lbs,air,2,FedEx First Overnight,380.8
120 lbs,air,2,FedEx First Overnight,384.0
121 lbs,air,2,FedEx First Overnight,387.2
122 lbs,air,2,FedEx First Overnight,390.4
123 lbs,air,2,FedEx First Overnight,393.6
124 lbs,air,2,FedEx First Overnight,396.8
125 lbs,air,2,FedEx First Overnight,400.0
126 lbs,air,2,FedEx First Overnight,403.2
127 lbs,air,2,FedEx First Overnight,406.4
128 lbs,air,2,FedEx First Overnight,409.6
129 lbs,air,2,FedEx First Overnight,412.8
130 lbs,air,2,FedEx First Overnight,416.0
131 lbs,air,2,FedEx First Overnight,419.2
132 lbs,air,2,FedEx First Overnight,422.4
133 lbs,air,2,FedEx First Overnight,425.6
134 lbs,air,2,FedEx First Overnight,428.8
135 lbs,air,2,FedEx First Overnight,432.0
136 lbs,air,2,FedEx First Overnight,435.2
137 lbs,air,2,FedEx First Overnight,438.4
138 lbs,air,2,FedEx First Overnight,441.6
139 lbs,air,2,FedEx First Overnight,444.8
140 lbs,air,2,FedEx First Overnight,448.0
141 lbs,air,2,FedEx First Overnight,451.2
142 lbs,air,2,FedEx First Overnight,454.4
143 lbs,air,2,FedEx First Overnight,457.6
144 lbs,air,2,FedEx First Overnight,460.8
145 lbs,air,2,FedEx First Overnight,464.0
146 lbs,air,2,FedEx First Overnight,467.2
147 lbs,air,2,FedEx First Overnight,470.4
148 lbs,air,2,FedEx First Overnight,473.6
149 lbs,air,2,FedEx First Overnight,476.8
150 lbs,air,2,FedEx First Overnight,480.0
2 lbs,air,3,FedEx First Overnight,94.09
3 lbs,air,3,FedEx First Overnight,100.97
4 lbs,air,3,FedEx First Overnight,102.44
5 lbs,air,3,FedEx First Overnight,102.87
6 lbs,air,3,FedEx First Overnight,111.39
7 lbs,air,3,FedEx First Overnight,115.59
8 lbs,air,3,FedEx First Overnight,116.01
9 lbs,air,3,FedEx First Overnight,116.59
10 lbs,air,3,FedEx First Overnight,117.71
11 lbs,air,3,FedEx First Overnight,133.1
12 lbs,air,3,FedEx First Overnight,136.48
13 lbs,air,3,FedEx First Overnight,137.52
14 lbs,air,3,FedEx First Overnight,138.8
15 lbs,air,3,FedEx First Overnight,139.46
16 lbs,air,3,FedEx First Overnight,152.44
17 lbs,air,3,FedEx First Overnight,153.74
18 lbs,air,3,FedEx First Overnight,154.41
19 lbs,air,3,FedEx First Overnight,154.68
20 lbs,air,3,FedEx First Overnight,155.22
21 lbs,air,3,FedEx First Overnight,160.9
22 lbs,air,3,FedEx First Overnight,168.09
23 lbs,air,3,FedEx First Overnight,168.83
24 lbs,air,3,FedEx First Overnight,169.4
25 lbs,air,3,FedEx First Overnight,169.97
26 lbs,air,3,FedEx First Overnight,181.0
27 lbs,air,3,FedEx First Overnight,182.12
28 lbs,air,3,FedEx First Overnight,182.64
29 lbs,air,3,FedEx First Overnight,183.41
30 lbs,air,3,FedEx First Overnight,183.7
31 lbs,air,3,FedEx First Overnight,187.99
32 lbs,air,3,FedEx First Overnight,191.76
33 lbs,air,3,FedEx First Overnight,200.81
34 lbs,air,3,FedEx First Overnight,201.73
35 lbs,air,3,FedEx First Overnight,202.23
36 lbs,air,3,FedEx First Overnight,205.59
37 lbs,air,3,FedEx First Overnight,217.3
38 lbs,air,3,FedEx First Overnight,218.48
39 lbs,air,3,FedEx First Overnight,218.97
40 lbs,air,3,FedEx First Overnight,219.47
41 lbs,air,3,FedEx First Overnight,228.43
42 lbs,air,3,FedEx First Overnight,229.34
43 lbs,air,3,FedEx First Overnight,232.51
44 lbs,air,3,FedEx First Overnight,243.07
45 lbs,air,3,FedEx First Overnight,251.31
46 lbs,air,3,FedEx First Overnight,252.16
47 lbs,air,3,FedEx First Overnight,255.37
48 lbs,air,3,FedEx First Overnight,255.84
49 lbs,air,3,FedEx First Overnight,256.11
50 lbs,air,3,FedEx First Overnight,226.38
51 lbs,air,3,FedEx First Overnight,251.59
52 lbs,air,3,FedEx First Overnight,264.76
53 lbs,air,3,FedEx First Overnight,266.09
54 lbs,air,3,FedEx First Overnight,266.65
55 lbs,air,3,FedEx First Overnight,271.27
56 lbs,air,3,FedEx First Overnight,286.47
57 lbs,air,3,FedEx First Overnight,289.34
58 lbs,air,3,FedEx First Overnight,290.56
59 lbs,air,3,FedEx First Overnight,291.13
60 lbs,air,3,FedEx First Overnight,291.7
61 lbs,air,3,FedEx First Overnight,301.99
62 lbs,air,3,FedEx First Overnight,311.33
63 lbs,air,3,FedEx First Overnight,312.31
64 lbs,air,3,FedEx First Overnight,322.2
65 lbs,air,3,FedEx First Overnight,324.36
66 lbs,air,3,FedEx First Overnight,325.26
67 lbs,air,3,FedEx First Overnight,342.97
68 lbs,air,3,FedEx First Overnight,344.96
69 lbs,air,3,FedEx First Overnight,345.52
70 lbs,air,3,FedEx First Overnight,346.11
71 lbs,air,3,FedEx First Overnight,346.66
72 lbs,air,3,FedEx First Overnight,356.85
73 lbs,air,3,FedEx First Overnight,364.3
74 lbs,air,3,FedEx First Overnight,365.05
75 lbs,air,3,FedEx First Overnight,366.22
76 lbs,air,3,FedEx First Overnight,376.38
77 lbs,air,3,FedEx First Overnight,377.4
78 lbs,air,3,FedEx First Overnight,378.2
79 lbs,air,3,FedEx First Overnight,379.0
80 lbs,air,3,FedEx First Overnight,379.8
81 lbs,air,3,FedEx First Overnight,388.7
82 lbs,air,3,FedEx First Overnight,389.6
83 lbs,air,3,FedEx First Overnight,390.4
84 lbs,air,3,FedEx First Overnight,391.2
85 lbs,air,3,FedEx First Overnight,392.0
86 lbs,air,3,FedEx First Overnight,392.8
87 lbs,air,3,FedEx First Overnight,393.6
88 lbs,air,3,FedEx First Overnight,394.4
89 lbs,air,3,FedEx First Overnight,395.2
90 lbs,air,3,FedEx First Overnight,396.0
91 lbs,air,3,FedEx First Overnight,396.8
92 lbs,air,3,FedEx First Overnight,397.6
93 lbs,air,3,FedEx First Overnight,398.4
94 lbs,air,3,FedEx First Overnight,399.2
95 lbs,air,3,FedEx First Overnight,400.0
96 lbs,air,3,FedEx First Overnight,400.8
97 lbs,air,3,FedEx First Overnight,401.6
98 lbs,air,3,FedEx First Overnight,402.4
99 lbs,air,3,FedEx First Overnight,403.2
100 lbs,air,3,FedEx First Overnight,404.0
101 lbs,air,3,FedEx First Overnight,439.35
102 lbs,air,3,FedEx First Overnight,443.7
103 lbs,air,3,FedEx First Overnight,448.05
104 lbs,air,3,FedEx First Overnight,452.4
105 lbs,air,3,FedEx First Overnight,456.75
106 lbs,air,3,FedEx First Overnight,461.1
107 lbs,air,3,FedEx First Overnight,465.45
108 lbs,air,3,FedEx First Overnight,469.8
109 lbs,air,3,FedEx First Overnight,474.15
110 lbs,air,3,FedEx First Overnight,478.5
111 lbs,air,3,FedEx First Overnight,482.85
112 lbs,air,3,FedEx First Overnight,487.2
113 lbs,air,3,FedEx First Overnight,491.55
114 lbs,air,3,FedEx First Overnight,495.9
115 lbs,air,3,FedEx First Overnight,500.25
116 lbs,air,3,FedEx First Overnight,504.6
117 lbs,air,3,FedEx First Overnight,508.95
118 lbs,air,3,FedEx First Overnight,513.3
119 lbs,air,3,FedEx First Overnight,517.65
120 lbs,air,3,FedEx First Overnight,522.0
121 lbs,air,3,FedEx First Overnight,526.35
122 lbs,air,3,FedEx First Overnight,530.7
123 lbs,air,3,FedEx First Overnight,535.05
124 lbs,air,3,FedEx First Overnight,539.4
125 lbs,air,3,FedEx First Overnight,543.75
126 lbs,air,3,FedEx First Overnight,548.1
127 lbs,air,3,FedEx First Overnight,552.45
128 lbs,air,3,FedEx First Overnight,556.8
129 lbs,air,3,FedEx First Overnight,561.15
130 lbs,air,3,FedEx First Overnight,565.5
131 lbs,air,3,FedEx First Overnight,569.85
132 lbs,air,3,FedEx First Overnight,574.2
133 lbs,air,3,FedEx First Overnight,578.55
134 lbs,air,3,FedEx First Overnight,582.9
135 lbs,air,3,FedEx First Overnight,587.25
136 lbs,air,3,FedEx First Overnight,591.6
137 lbs,air,3,FedEx First Overnight,595.95
138 lbs,air,3,FedEx First Overnight,600.3
139 lbs,air,3,FedEx First Overnight,604.65
140 lbs,air,3,FedEx First Overnight,609.0
141 lbs,air,3,FedEx First Overnight,613.35
142 lbs,air,3,FedEx First Overnight,617.7
143 lbs,air,3,FedEx First Overnight,622.05
144 lbs,air,3,FedEx First Overnight,626.4
145 lbs,air,3,FedEx First Overnight,630.75
146 lbs,air,3,FedEx First Overnight,635.1
147 lbs,air,3,FedEx First Overnight,639.45
148 lbs,air,3,FedEx First Overnight,643.8
149 lbs,air,3,FedEx First Overnight,648.15
150 lbs,air,3,FedEx First Overnight,652.5
2 lbs,air,4,FedEx First Overnight,118.79
3 lbs,air,4,FedEx First Overnight,128.23
4 lbs,air,4,FedEx First Overnight,139.75
5 lbs,air,4,FedEx First Overnight,142.05
6 lbs,air,4,FedEx First Overnight,155.88
7 lbs,air,4,FedEx First Overnight,161.46
8 lbs,air,4,FedEx First Overnight,167.13
9 lbs,air,4,FedEx First Overnight,171.97
10 lbs,air,4,FedEx First Overnight,173.56
11 lbs,air,4,FedEx First Overnight,204.91
12 lbs,air,4,FedEx First Overnight,208.82
13 lbs,air,4,FedEx First Overnight,212.81
14 lbs,air,4,FedEx First Overnight,220.78
15 lbs,air,4,FedEx First Overnight,224.08
16 lbs,air,4,FedEx First Overnight,237.67
17 lbs,air,4,FedEx First Overnight,249.2
18 lbs,air,4,FedEx First Overnight,250.53
19 lbs,air,4,FedEx First Overnight,250.78
20 lbs,air,4,FedEx First Overnight,251.8
21 lbs,air,4,FedEx First Overnight,271.88
22 lbs,air,4,FedEx First Overnight,278.09
23 lbs,air,4,FedEx First Overnight,284.94
24 lbs,air,4,FedEx First Overnight,288.58
25 lbs,air,4,FedEx First Overnight,297.19
26 lbs,air,4,FedEx First Overnight,312.59
27 lbs,air,4,FedEx First Overnight,314.13
28 lbs,air,4,FedEx First Overnight,327.34
29 lbs,air,4,FedEx First Overnight,334.1
30 lbs,air,4,FedEx First Overnight,334.78
31 lbs,air,4,FedEx First Overnight,347.68
32 lbs,air,4,FedEx First Overnight,354.39
33 lbs,air,4,FedEx First Overnight,359.69
34 lbs,air,4,FedEx First Overnight,366.66
35 lbs,air,4,FedEx First Overnight,367.38
36 lbs,air,4,FedEx First Overnight,380.69
37 lbs,air,4,FedEx First Overnight,388.84
38 lbs,air,4,FedEx First Overnight,394.44
39 lbs,air,4,FedEx First Overnight,400.73
40 lbs,air,4,FedEx First Overnight,401.38
41 lbs,air,4,FedEx First Overnight,414.26
42 lbs,air,4,FedEx First Overnight,419.16
43 lbs,air,4,FedEx First Overnight,429.1
44 lbs,air,4,FedEx First Overnight,435.72
45 lbs,air,4,FedEx First Overnight,440.15
46 lbs,air,4,FedEx First Overnight,446.69
47 lbs,air,4,FedEx First Overnight,447.35
48 lbs,air,4,FedEx First Overnight,447.55
49 lbs,air,4,FedEx First Overnight,447.75
50 lbs,air,4,FedEx First Overnight,449.41
51 lbs,air,4,FedEx First Overnight,451.61
52 lbs,air,4,FedEx First Overnight,484.01
53 lbs,air,4,FedEx First Overnight,487.25
54 lbs,air,4,FedEx First Overnight,487.77
55 lbs,air,4,FedEx First Overnight,491.31
56 lbs,air,4,FedEx First Overnight,491.83
57 lbs,air,4,FedEx First Overnight,492.75
58 lbs,air,4,FedEx First Overnight,493.35
59 lbs,air,4,FedEx First Overnight,505.08
60 lbs,air,4,FedEx First Overnight,506.26
61 lbs,air,4,FedEx First Overnight,526.63
62 lbs,air,4,FedEx First Overnight,534.64
63 lbs,air,4,FedEx First Overnight,539.45
64 lbs,air,4,FedEx First Overnight,539.97
65 lbs,air,4,FedEx First Overnight,544.61
66 lbs,air,4,FedEx First Overnight,560.79
67 lbs,air,4,FedEx First Overnight,569.24
68 lbs,air,4,FedEx First Overnight,570.09
69 lbs,air,4,FedEx First Overnight,570.67
70 lbs,air,4,FedEx First Overnight,571.19
71 lbs,air,4,FedEx First Overnight,573.04
72 lbs,air,4,FedEx First Overnight,609.97
73 lbs,air,4,FedEx First Overnight,613.67
74 lbs,air,4,FedEx First Overnight,614.26
75 lbs,air,4,FedEx First Overnight,615.29
76 lbs,air,4,FedEx First Overnight,618.58
77 lbs,air,4,FedEx First Overnight,621.1
78 lbs,air,4,FedEx First Overnight,632.84
79 lbs,air,4,FedEx First Overnight,634.02
80 lbs,air,4,FedEx First Overnight,635.57
81 lbs,air,4,FedEx First Overnight,666.39
82 lbs,air,4,FedEx First Overnight,669.92
83 lbs,air,4,FedEx First Overnight,670.98
84 lbs,air,4,FedEx First Overnight,672.07
85 lbs,air,4,FedEx First Overnight,673.15
86 lbs,air,4,FedEx First Overnight,675.08
87 lbs,air,4,FedEx First Overnight,699.31
88 lbs,air,4,FedEx First Overnight,701.74
89 lbs,air,4,FedEx First Overnight,723.79
90 lbs,air,4,FedEx First Overnight,726.0
91 lbs,air,4,FedEx First Overnight,726.8
92 lbs,air,4,FedEx First Overnight,727.6
93 lbs,air,4,FedEx First Overnight,728.4
94 lbs,air,4,FedEx First Overnight,729.2
95 lbs,air,4,FedEx First Overnight,730.0
96 lbs,air,4,FedEx First Overnight,730.8
97 lbs,air,4,FedEx First Overnight,731.6
98 lbs,air,4,FedEx First Overnight,732.4
99 lbs,air,4,FedEx First Overnight,733.2
100 lbs,air,4,FedEx First Overnight,734.0
101 lbs,air,4,FedEx First Overnight,772.65
102 lbs,air,4,FedEx First Overnight,780.3
103 lbs,air,4,FedEx First Overnight,787.95
104 lbs,air,4,FedEx First Overnight,795.6
105 lbs,air,4,FedEx First Overnight,803.25
106 lbs,air,4,FedEx First Overnight,810.9
107 lbs,air,4,FedEx First Overnight,818.55
108 lbs,air,4,FedEx First Overnight,826.2
109 lbs,air,4,FedEx First Overnight,833.85
110 lbs,air,4,FedEx First Overnight,841.5
111 lbs,air,4,FedEx First Overnight,849.15
112 lbs,air,4,FedEx First Overnight,856.8
113 lbs,air,4,FedEx First Overnight,864.45
114 lbs,air,4,FedEx First Overnight,872.1
115 lbs,air,4,FedEx First Overnight,879.75
116 lbs,air,4,FedEx First Overnight,887.4
117 lbs,air,4,FedEx First Overnight,895.05
118 lbs,air,4,FedEx First Overnight,902.7
119 lbs,air,4,FedEx First Overnight,910.35
120 lbs,air,4,FedEx First Overnight,918.0
121 lbs,air,4,FedEx First Overnight,925.65
122 lbs,air,4,FedEx First Overnight,933.3
123 lbs,air,4,FedEx First Overnight,940.95
124 lbs,air,4,FedEx First Overnight,948.6
125 lbs,air,4,FedEx First Overnight,956.25
126 lbs,air,4,FedEx First Overnight,963.9
127 lbs,air,4,FedEx First Overnight,971.55
128 lbs,air,4,FedEx First Overnight,979.2
129 lbs,air,4,FedEx First Overnight,986.85
130 lbs,air,4,FedEx First Overnight,994.5
2 lbs,air,5,FedEx First Overnight,126.45
3 lbs,air,5,FedEx First Overnight,140.09
4 lbs,air,5,FedEx First Overnight,150.46
5 lbs,air,5,FedEx First Overnight,151.53
6 lbs,air,5,FedEx First Overnight,171.97
7 lbs,air,5,FedEx First Overnight,178.91
8 lbs,air,5,FedEx First Overnight,184.66
9 lbs,air,5,FedEx First Overnight,185.24
10 lbs,air,5,FedEx First Overnight,187.39
11 lbs,air,5,FedEx First Overnight,230.39
12 lbs,air,5,FedEx First Overnight,239.83
13 lbs,air,5,FedEx First Overnight,244.46
14 lbs,air,5,FedEx First Overnight,244.93
15 lbs,air,5,FedEx First Overnight,246.28
16 lbs,air,5,FedEx First Overnight,273.13
17 lbs,air,5,FedEx First Overnight,275.82
18 lbs,air,5,FedEx First Overnight,276.11
19 lbs,air,5,FedEx First Overnight,276.35
20 lbs,air,5,FedEx First Overnight,276.84
21 lbs,air,5,FedEx First Overnight,286.31
22 lbs,air,5,FedEx First Overnight,293.71
23 lbs,air,5,FedEx First Overnight,306.22
24 lbs,air,5,FedEx First Overnight,317.33
25 lbs,air,5,FedEx First Overnight,318.45
26 lbs,air,5,FedEx First Overnight,333.04
27 lbs,air,5,FedEx First Overnight,334.5
28 lbs,air,5,FedEx First Overnight,348.86
29 lbs,air,5,FedEx First Overnight,350.3
30 lbs,air,5,FedEx First Overnight,353.11
31 lbs,air,5,FedEx First Overnight,367.49
32 lbs,air,5,FedEx First Overnight,368.93
33 lbs,air,5,FedEx First Overnight,391.53
34 lbs,air,5,FedEx First Overnight,393.8
35 lbs,air,5,FedEx First Overnight,394.21
36 lbs,air,5,FedEx First Overnight,401.54
37 lbs,air,5,FedEx First Overnight,414.08
38 lbs,air,5,FedEx First Overnight,421.06
39 lbs,air,5,FedEx First Overnight,426.26
40 lbs,air,5,FedEx First Overnight,426.78
41 lbs,air,5,FedEx First Overnight,436.9
42 lbs,air,5,FedEx First Overnight,443.11
43 lbs,air,5,FedEx First Overnight,454.16
44 lbs,air,5,FedEx First Overnight,465.73
45 lbs,air,5,FedEx First Overnight,470.03
46 lbs,air,5,FedEx First Overnight,482.02
47 lbs,air,5,FedEx First Overnight,483.79
48 lbs,air,5,FedEx First Overnight,487.06
49 lbs,air,5,FedEx First Overnight,487.39
50 lbs,air,5,FedEx First Overnight,489.6
51 lbs,air,5,FedEx First Overnight,533.77
52 lbs,air,5,FedEx First Overnight,543.62
53 lbs,air,5,FedEx First Overnight,553.71
54 lbs,air,5,FedEx First Overnight,554.73
55 lbs,air,5,FedEx First Overnight,556.02
56 lbs,air,5,FedEx First Overnight,570.43
57 lbs,air,5,FedEx First Overnight,540.88
58 lbs,air,5,FedEx First Overnight,541.4
59 lbs,air,5,FedEx First Overnight,549.55
60 lbs,air,5,FedEx First Overnight,550.38
61 lbs,air,5,FedEx First Overnight,566.32
62 lbs,air,5,FedEx First Overnight,573.35
63 lbs,air,5,FedEx First Overnight,574.17
64 lbs,air,5,FedEx First Overnight,590.28
65 lbs,air,5,FedEx First Overnight,596.71
66 lbs,air,5,FedEx First Overnight,615.3
67 lbs,air,5,FedEx First Overnight,617.17
68 lbs,air,5,FedEx First Overnight,624.79
69 lbs,air,5,FedEx First Overnight,626.54
70 lbs,air,5,FedEx First Overnight,627.07
71 lbs,air,5,FedEx First Overnight,628.2
72 lbs,air,5,FedEx First Overnight,649.3
73 lbs,air,5,FedEx First Overnight,651.42
74 lbs,air,5,FedEx First Overnight,651.95
75 lbs,air,5,FedEx First Overnight,653.0
76 lbs,air,5,FedEx First Overnight,658.58
77 lbs,air,5,FedEx First Overnight,679.65
78 lbs,air,5,FedEx First Overnight,692.07
79 lbs,air,5,FedEx First Overnight,693.32
80 lbs,air,5,FedEx First Overnight,696.05
81 lbs,air,5,FedEx First Overnight,750.47
82 lbs,air,5,FedEx First Overnight,755.92
83 lbs,air,5,FedEx First Overnight,756.99
84 lbs,air,5,FedEx First Overnight,758.06
85 lbs,air,5,FedEx First Overnight,759.13
86 lbs,air,5,FedEx First Overnight,761.87
87 lbs,air,5,FedEx First Overnight,765.27
88 lbs,air,5,FedEx First Overnight,766.94
89 lbs,air,5,FedEx First Overnight,800.14
90 lbs,air,5,FedEx First Overnight,804.82
91 lbs,air,5,FedEx First Overnight,805.84
92 lbs,air,5,FedEx First Overnight,806.87
93 lbs,air,5,FedEx First Overnight,807.9
94 lbs,air,5,FedEx First Overnight,808.93
95 lbs,air,5,FedEx First Overnight,814.74
96 lbs,air,5,FedEx First Overnight,820.19
97 lbs,air,5,FedEx First Overnight,826.94
98 lbs,air,5,FedEx First Overnight,829.23
99 lbs,air,5,FedEx First Overnight,870.91
100 lbs,air,5,FedEx First Overnight,876.0
101 lbs,air,5,FedEx First Overnight,916.07
102 lbs,air,5,FedEx First Overnight,925.14
103 lbs,air,5,FedEx First Overnight,934.21
104 lbs,air,5,FedEx First Overnight,943.28
105 lbs,air,5,FedEx First Overnight,952.35
106 lbs,air,5,FedEx First Overnight,961.42
107 lbs,air,5,FedEx First Overnight,970.49
108 lbs,air,5,FedEx First Overnight,979.56
109 lbs,air,5,FedEx First Overnight,988.63
110 lbs,air,5,FedEx First Overnight,997.7
2 lbs,air,6,FedEx First Overnight,129.3
3 lbs,air,6,FedEx First Overnight,148.31
4 lbs,air,6,FedEx First Overnight,154.81
5 lbs,air,6,FedEx First Overnight,155.96
6 lbs,air,6,FedEx First Overnight,178.46
7 lbs,air,6,FedEx First Overnight,184.53
8 lbs,air,6,FedEx First Overnight,191.76
9 lbs,air,6,FedEx First Overnight,192.49
10 lbs,air,6,FedEx First Overnight,194.73
11 lbs,air,6,FedEx First Overnight,239.22
12 lbs,air,6,FedEx First Overnight,248.04
13 lbs,air,6,FedEx First Overnight,248.93
14 lbs,air,6,FedEx First Overnight,249.22
15 lbs,air,6,FedEx First Overnight,250.59
16 lbs,air,6,FedEx First Overnight,277.98
17 lbs,air,6,FedEx First Overnight,280.73
18 lbs,air,6,FedEx First Overnight,281.03
19 lbs,air,6,FedEx First Overnight,281.26
20 lbs,air,6,FedEx First Overnight,282.04
21 lbs,air,6,FedEx First Overnight,297.38
22 lbs,air,6,FedEx First Overnight,299.26
23 lbs,air,6,FedEx First Overnight,320.9
24 lbs,air,6,FedEx First Overnight,323.07
25 lbs,air,6,FedEx First Overnight,328.75
26 lbs,air,6,FedEx First Overnight,350.69
27 lbs,air,6,FedEx First Overnight,352.89
28 lbs,air,6,FedEx First Overnight,360.56
29 lbs,air,6,FedEx First Overnight,361.33
30 lbs,air,6,FedEx First Overnight,362.76
31 lbs,air,6,FedEx First Overnight,391.09
32 lbs,air,6,FedEx First Overnight,393.93
33 lbs,air,6,FedEx First Overnight,400.4
34 lbs,air,6,FedEx First Overnight,401.06
35 lbs,air,6,FedEx First Overnight,401.72
36 lbs,air,6,FedEx First Overnight,414.7
37 lbs,air,6,FedEx First Overnight,433.39
38 lbs,air,6,FedEx First Overnight,439.84
39 lbs,air,6,FedEx First Overnight,440.49
40 lbs,air,6,FedEx First Overnight,441.64
41 lbs,air,6,FedEx First Overnight,464.36
42 lbs,air,6,FedEx First Overnight,466.64
43 lbs,air,6,FedEx First Overnight,474.57
44 lbs,air,6,FedEx First Overnight,482.32
45 lbs,air,6,FedEx First Overnight,483.12
46 lbs,air,6,FedEx First Overnight,498.77
